old_name;Freq;new_name;comment
Steinzeug;260;Steinzeug;
Schlitzbrückenfilter SW 3,0 mm, Stahl, Rilsan;133;Stahl;
Wickeldrahtfilter SW 2,5 mm, Edelstahl;110;Edelstahl;
PVC;84;PVC;
Inliner, Edelstahl, V2.A;77;Inliner;
NA;76;Unbekannt;
Schlitzbrückenfilter, Stahl, Hagulit;69;Stahl;
Wickeldrahtfilter SW 2,5 mm, Edelstahl, VA;63;Edelstahl;
Wickeldrahtfilter SW 2,5 mm, Edelstahl, V2.A;58;Edelstahl;
Stahl;49;Stahl;
Schlitzbrückenfilter, Stahl, Rilsan;40;Stahl;
Inliner, Edelstahl;39;Inliner;
Schlitzbrückenfilter, Kupfer;39;Kupfer;
;30;Unbekannt;
Wickeldrahtfilter, Edelstahl;30;Edelstahl;
Schlitzbrückenfilter SW 1,2 mm, Stahl, Hagulit;27;Stahl;
Schlitzbrückenfilter SW 3,0 mm, Kupfer;24;Kupfer;
Schlitzbrückenfilter SW 3,0 mm, Stahl, Polyethylen;24;Stahl;
Querschlitzfilter, PVC;21;PVC;
Stahl, Rilsan;17;Stahl;
Keramik;14;Steinzeug;
Stahl, Polyethylen;11;Stahl;
Schlitzbrückenfilter SW 1,8-2,2 mm, Stahl, Hagulit;10;Stahl;
Wickeldrahtfilter SW 2,5, Edelstahl;10;Edelstahl;
Schlitzbrückenfilter, Stahl, Polyethylen;8;Stahl;
Wickeldrahtfilter SW 1,5 mm, Edelstahl, V2.A;8;Edelstahl;
Wickeldrahtfilter SW 2,0 mm, Edelstahl;8;Edelstahl;
Stahl, Hagulit;7;Stahl;
Wickeldrahtfilter SW 1,0 mm, Edelstahl;7;Edelstahl;
Schlitzbrückenfilter SW 3,0 mm, Stahl, Hagulit;6;Stahl;
Wickeldrahtfilter, Edelstahl, V2.A;6;Edelstahl;
Edelstahl;5;Edelstahl;
Schlitzbrückenfilter SW 0,5 mm, Stahl, Rilsan;5;Stahl;
Wickeldrahtfilter SW 2,0 mm, Edelstahl, V2.A;4;Edelstahl;
Wickeldrahtfilter SW 2,5, Edelstahl, V4.A;4;Edelstahl;
Längsschlitz, Steinzeug;3;Steinzeug;
Wickeldrahtfilter SW 1,0 mm, Edelstahl, V2.A;3;Edelstahl;
Wickeldrahtfilter SW 1,5 mm, Edelstahl;3;Edelstahl;
Drahtwickelfilter SW 2,5, Edelstahl, V4.A;2;Edelstahl;
Inliner, Stahl;2;Inliner;
Kupfer;2;Kupfer;
Längsschlitz, PVC;2;PVC;
Schlitzbrückenfilter SW 1,3-2,5 mm, Stahl, Hagulit;2;Stahl;
Schlitzbrückenfilter SW 2,1 mm, Stahl, Hagulit;2;Stahl;
Wickeldrahtfilter SW 1,5 mm, Edelstahl, VA;2;Edelstahl;
Asbestzement;1;Steinzeug;das ist der Brunnen, bei dem vermutlich Vollrohr- und Filterrohrart vertauscht sind
Drahtwickelfilter SW 2,5, Edelstahl;1;Edelstahl;
Drahtwickelfilter SW 2,5, Edelstahl, V4A;1;Edelstahl;
Inliner, Kupfer;1;Inliner;
Querschlitzfilter, Kunststoff (SBF);1;PVC;
Schlitzbrückenfilter mit Kiesbelag, Stahl, Rilsan;1;Stahl;
Schlitzbrückenfilter SW 0,5 mm, Stahl, Hagulit;1;Stahl;
Schlitzbrückenfilter SW 1,2 mm, Stahl, Rilsan;1;Stahl;
Schlitzbrückenfilter SW 1,5 mm, Stahl, Rilsan;1;Stahl;
Schlitzbrückenfilter SW 2,0 mm, Kupfer;1;Kupfer;
Schlitzbrückenfilter SW 2,0 mm, Stahl, Hagulit;1;Stahl;
Schlitzbrückenfilter, Stahl;1;Stahl;
Schoenebecker-Kunststoff-Filter SW 2,0 mm;1;PVC;
Stahl, kunststoffbeschichtet;1;Stahl;
SW 1,8-2,2 mm, Stahl, Hagulit;1;Stahl;
Wickeldrahtfilter SW 0,5 mm, Edelstahl, V2.A;1;Edelstahl;
Wickeldrahtfilter SW 0,75 mm, Edelstahl;1;Edelstahl;
Wickeldrahtfilter SW 1,0 mm mit Holzboden, Edelstahl;1;Edelstahl;
Wickeldrahtfilter, Stahl;1;Stahl;
